,Sex,Length (mm),Diameter (mm),Height (mm,Whole weight (g),Shucked weight (g),Viscera weight (g),Shell weight (g),Rings
0,I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13
1,M,0.66,0.5,0.165,1.3195,0.667,0.26899999999999996,0.341,9
2,M,0.615,0.485,0.215,0.9615,0.42200000000000004,0.17600000000000002,0.29,11
3,F,0.625,0.485,0.175,1.3619999999999999,0.6765,0.2615,0.3705,10
4,M,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9
5,F,0.62,0.49,0.16,1.056,0.493,0.244,0.2725,9
6,M,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,7
7,I,0.475,0.355,0.115,0.5195,0.27899999999999997,0.08800000000000001,0.1325,7
8,M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10
9,M,0.535,0.42,0.145,0.7909999999999999,0.33,0.18899999999999997,0.25,10
10,I,0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9
11,F,0.585,0.455,0.13,0.8755,0.41100000000000003,0.2065,0.225,8
12,M,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,9
13,M,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,10
14,M,0.6,0.465,0.165,1.0475,0.465,0.2345,0.315,11
15,F,0.44,0.34,0.135,0.3975,0.1505,0.0945,0.135,8
16,M,0.63,0.49,0.17,1.1745,0.5255,0.273,0.33899999999999997,11
17,I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
18,F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,13
19,M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11
20,M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12
21,M,0.665,0.515,0.19,1.6385,0.831,0.3575,0.371,11
22,I,0.335,0.25,0.075,0.18600000000000003,0.0945,0.038,0.0445,7
23,M,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12
24,M,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309,12
25,I,0.185,0.135,0.045,0.032,0.011000000000000001,0.0065,0.01,4
26,I,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10
27,F,0.59,0.485,0.205,1.2315,0.4525,0.23800000000000002,0.42,13
28,F,0.555,0.42,0.11,0.9309999999999999,0.4445,0.171,0.225,8
29,M,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11
30,F,0.65,0.5,0.16,1.3825,0.7020000000000001,0.304,0.3195,9
31,F,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,11
32,F,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10
33,I,0.55,0.43,0.145,0.7120000000000001,0.3025,0.152,0.225,10
34,I,0.335,0.25,0.075,0.1825,0.0705,0.044000000000000004,0.055,7
35,M,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,8
36,I,0.315,0.23,0.0,0.134,0.0575,0.0285,0.3505,6
37,F,0.335,0.22,0.07,0.17,0.076,0.0365,0.05,6
38,I,0.385,0.28,0.095,0.257,0.11900000000000001,0.059000000000000004,0.07,7
39,F,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,8
40,M,0.62,0.495,0.195,1.5145,0.579,0.34600000000000003,0.5195,15
41,M,0.59,0.485,0.12,0.9109999999999999,0.39,0.182,0.29,16
42,I,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,8
43,F,0.52,0.41,0.155,0.727,0.29100000000000004,0.1835,0.235,12
44,F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10
45,I,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16
46,I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17
47,I,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,8
48,I,0.3,0.23,0.095,0.1385,0.055999999999999994,0.0365,0.037000000000000005,6
49,F,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20
50,F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10
51,I,0.545,0.375,0.12,0.5429999999999999,0.2375,0.1155,0.1725,8
52,F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9
53,F,0.565,0.48,0.175,0.9570000000000001,0.3885,0.215,0.275,18
54,F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10
55,I,0.57,0.445,0.155,0.867,0.3705,0.1705,0.28,9
56,F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
57,F,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,8
58,I,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9
59,M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10
60,M,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,10
61,F,0.47,0.36,0.13,0.47200000000000003,0.182,0.114,0.15,10
62,I,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,9
63,M,0.49,0.38,0.14,0.7605,0.245,0.16699999999999998,0.185,10
64,I,0.56,0.445,0.15,0.8225,0.3685,0.187,0.23600000000000002,10
65,M,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,19
66,I,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10
67,M,0.68,0.52,0.195,1.4535,0.5920000000000001,0.391,0.4125,10
68,M,0.64,0.51,0.19,1.6130000000000002,0.6215,0.361,0.47,14
69,F,0.71,0.545,0.175,1.9069999999999998,0.8725,0.4565,0.475,11
70,I,0.21,0.15,0.055,0.0465,0.017,0.012,0.015,5
71,I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,7
72,I,0.545,0.435,0.135,0.7715,0.37200000000000005,0.14800000000000002,0.22699999999999998,8
73,F,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10
74,F,0.525,0.415,0.15,0.7055,0.32899999999999996,0.147,0.19899999999999998,10
75,F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11
76,M,0.505,0.385,0.15,0.6415,0.24600000000000002,0.152,0.215,12
77,F,0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,12
78,I,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,9
79,F,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
80,M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19
81,I,0.665,0.5,0.17,1.2975,0.6035,0.29100000000000004,0.3595,9
82,I,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8
83,F,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,9
84,M,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9
85,M,0.4,0.3,0.125,0.41700000000000004,0.191,0.09,0.1175,9
86,I,0.25,0.18,0.06,0.073,0.027999999999999997,0.017,0.0225,5
87,F,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11
88,F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9
89,F,0.37,0.275,0.08,0.22699999999999998,0.09300000000000001,0.0625,0.07,8
90,F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11
91,I,0.255,0.185,0.065,0.07400000000000001,0.0305,0.0165,0.02,4
92,F,0.65,0.52,0.195,1.281,0.5985,0.24600000000000002,0.3825,10
93,F,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,10
