,Age,Position,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Overall
0,27,17,175.26,154,66.0,66.0,66.0,68.0,67.0,67.0,67.0,68.0,66.0,66.0,66.0,67.0,61.0,61.0,61.0,67.0,57.0,53.0,53.0,53.0,57.0,55.0,47.0,47.0,47.0,55.0,61.0,71.0,43.0,64.0,33.0,68.0,47.0,36.0,56.0,69.0,83.0,90.0,81.0,63.0,72.0,74.0,57.0,73.0,66.0,55.0,48.0,43.0,64.0,60.0,38.0,51.0,33.0,36.0,40.0,8.0,7.0,11.0,15.0,12.0,7
1,27,3,182.88,176,52.0,52.0,52.0,54.0,53.0,53.0,53.0,54.0,53.0,53.0,53.0,56.0,55.0,55.0,55.0,56.0,62.0,60.0,60.0,60.0,62.0,62.0,60.0,60.0,60.0,62.0,63.0,36.0,48.0,61.0,36.0,51.0,29.0,19.0,55.0,59.0,70.0,68.0,67.0,52.0,62.0,62.0,59.0,75.0,68.0,40.0,62.0,66.0,52.0,45.0,51.0,63.0,55.0,62.0,63.0,11.0,15.0,9.0,7.0,8.0,7
2,33,23,177.8,157,63.0,63.0,63.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,68.0,68.0,68.0,67.0,70.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,70.0,73.0,42.0,66.0,70.0,28.0,74.0,77.0,73.0,68.0,68.0,62.0,72.0,68.0,68.0,71.0,81.0,63.0,72.0,69.0,69.0,70.0,65.0,66.0,65.0,66.0,68.0,74.0,75.0,74.0,13.0,12.0,12.0,14.0,9.0,8
3,23,23,177.8,179,65.0,65.0,65.0,69.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,71.0,70.0,70.0,70.0,71.0,72.0,70.0,70.0,70.0,72.0,72.0,68.0,68.0,68.0,72.0,73.0,50.0,56.0,70.0,61.0,73.0,69.0,57.0,69.0,72.0,79.0,80.0,75.0,71.0,73.0,67.0,82.0,83.0,65.0,62.0,66.0,69.0,68.0,68.0,49.0,69.0,70.0,70.0,71.0,14.0,6.0,11.0,13.0,10.0,8
4,24,7,172.72,154,68.0,68.0,68.0,68.0,67.0,67.0,67.0,68.0,64.0,64.0,64.0,66.0,56.0,56.0,56.0,66.0,52.0,47.0,47.0,47.0,52.0,49.0,45.0,45.0,45.0,49.0,61.0,59.0,59.0,58.0,67.0,73.0,65.0,52.0,44.0,71.0,91.0,91.0,79.0,66.0,80.0,77.0,67.0,70.0,77.0,70.0,74.0,22.0,65.0,46.0,52.0,67.0,32.0,26.0,23.0,6.0,9.0,14.0,9.0,10.0,7
5,30,17,177.8,157,74.0,74.0,74.0,71.0,74.0,74.0,74.0,71.0,72.0,72.0,72.0,70.0,65.0,65.0,65.0,70.0,53.0,53.0,53.0,53.0,53.0,52.0,51.0,51.0,51.0,52.0,46.0,73.0,76.0,70.0,75.0,74.0,67.0,69.0,63.0,73.0,87.0,89.0,70.0,71.0,70.0,75.0,82.0,51.0,73.0,68.0,60.0,29.0,74.0,70.0,80.0,78.0,32.0,39.0,34.0,12.0,15.0,13.0,6.0,12.0,8
6,34,10,187.96,181,62.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,62.0,62.0,62.0,63.0,66.0,66.0,66.0,63.0,69.0,72.0,72.0,72.0,69.0,70.0,74.0,74.0,74.0,70.0,72.0,44.0,75.0,74.0,50.0,61.0,48.0,39.0,66.0,72.0,51.0,51.0,63.0,73.0,58.0,69.0,69.0,64.0,77.0,56.0,82.0,74.0,59.0,54.0,57.0,74.0,76.0,73.0,75.0,6.0,10.0,14.0,10.0,16.0,8
7,31,19,182.88,185,80.0,80.0,80.0,77.0,79.0,79.0,79.0,77.0,79.0,79.0,79.0,77.0,80.0,80.0,80.0,77.0,72.0,76.0,76.0,76.0,72.0,72.0,75.0,75.0,75.0,72.0,78.0,79.0,90.0,79.0,55.0,78.0,72.0,68.0,80.0,85.0,47.0,57.0,66.0,86.0,64.0,85.0,76.0,74.0,82.0,86.0,84.0,69.0,85.0,83.0,76.0,83.0,69.0,74.0,63.0,14.0,16.0,14.0,16.0,15.0,9
8,19,22,170.18,119,46.0,46.0,46.0,51.0,49.0,49.0,49.0,51.0,49.0,49.0,49.0,51.0,44.0,44.0,44.0,51.0,41.0,36.0,36.0,36.0,41.0,38.0,30.0,30.0,30.0,38.0,46.0,42.0,33.0,51.0,42.0,58.0,41.0,34.0,43.0,60.0,68.0,69.0,51.0,39.0,91.0,51.0,40.0,48.0,38.0,35.0,28.0,16.0,41.0,42.0,54.0,48.0,28.0,20.0,28.0,12.0,8.0,8.0,14.0,9.0,6
9,20,8,175.26,150,64.0,64.0,64.0,68.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0,67.0,66.0,66.0,66.0,67.0,57.0,57.0,57.0,57.0,57.0,55.0,50.0,50.0,50.0,55.0,56.0,69.0,42.0,71.0,42.0,75.0,78.0,82.0,68.0,74.0,68.0,66.0,67.0,68.0,77.0,59.0,59.0,47.0,50.0,71.0,43.0,60.0,66.0,65.0,53.0,68.0,47.0,37.0,43.0,12.0,7.0,9.0,11.0,7.0,7
10,25,3,177.8,168,60.0,60.0,60.0,61.0,60.0,60.0,60.0,61.0,59.0,59.0,59.0,62.0,61.0,61.0,61.0,62.0,67.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,62.0,41.0,59.0,65.0,37.0,69.0,52.0,58.0,57.0,66.0,76.0,70.0,63.0,63.0,71.0,79.0,73.0,73.0,73.0,45.0,74.0,68.0,53.0,49.0,55.0,62.0,67.0,70.0,68.0,10.0,13.0,14.0,8.0,16.0,7
11,21,13,172.72,154,58.0,58.0,58.0,61.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,63.0,61.0,61.0,61.0,63.0,63.0,62.0,62.0,62.0,63.0,62.0,59.0,59.0,59.0,62.0,60.0,47.0,53.0,68.0,45.0,64.0,49.0,48.0,62.0,62.0,77.0,73.0,74.0,63.0,80.0,61.0,70.0,78.0,64.0,57.0,73.0,61.0,53.0,55.0,51.0,52.0,55.0,55.0,55.0,7.0,13.0,13.0,7.0,10.0,7
12,22,12,167.64,163,60.0,60.0,60.0,67.0,65.0,65.0,65.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,64.0,62.0,62.0,62.0,64.0,62.0,54.0,54.0,54.0,62.0,71.0,61.0,41.0,72.0,53.0,62.0,73.0,72.0,71.0,73.0,71.0,63.0,87.0,66.0,93.0,66.0,53.0,65.0,29.0,70.0,45.0,54.0,60.0,67.0,66.0,63.0,57.0,62.0,58.0,14.0,15.0,13.0,12.0,16.0,7
13,30,10,177.8,174,48.0,48.0,48.0,46.0,47.0,47.0,47.0,46.0,48.0,48.0,48.0,47.0,52.0,52.0,52.0,47.0,56.0,60.0,60.0,60.0,56.0,58.0,65.0,65.0,65.0,58.0,34.0,27.0,65.0,58.0,32.0,38.0,38.0,40.0,51.0,57.0,55.0,57.0,64.0,62.0,57.0,55.0,80.0,60.0,73.0,42.0,77.0,64.0,37.0,45.0,34.0,58.0,62.0,66.0,61.0,8.0,12.0,12.0,9.0,7.0,7
14,21,22,170.18,146,66.0,66.0,66.0,74.0,72.0,72.0,72.0,74.0,74.0,74.0,74.0,72.0,66.0,66.0,66.0,72.0,52.0,48.0,48.0,48.0,52.0,47.0,35.0,35.0,35.0,47.0,66.0,68.0,44.0,73.0,52.0,81.0,66.0,49.0,65.0,78.0,79.0,76.0,90.0,63.0,90.0,65.0,44.0,60.0,33.0,67.0,38.0,21.0,71.0,76.0,62.0,76.0,37.0,18.0,19.0,12.0,7.0,8.0,7.0,12.0,8
15,26,12,177.8,152,51.0,51.0,51.0,55.0,53.0,53.0,53.0,55.0,55.0,55.0,55.0,58.0,58.0,58.0,58.0,58.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,58.0,36.0,56.0,63.0,31.0,57.0,34.0,36.0,59.0,59.0,62.0,65.0,63.0,57.0,55.0,44.0,67.0,74.0,70.0,33.0,62.0,61.0,49.0,60.0,43.0,50.0,60.0,62.0,58.0,10.0,10.0,16.0,11.0,12.0,7
